text,label
what is the correct cost center,FINANCE
what project code should i use,FINANCE
what is financial reporting,FINANCE
when do financial reports come out,FINANCE
where can i see financial statements,FINANCE
what is on the p&l,FINANCE
what is profit and loss statement,FINANCE
what is the income statement,FINANCE
what is the balance sheet,FINANCE
what is cash flow statement,FINANCE
how do i read financial statements,FINANCE
what are our financial metrics,FINANCE
what kpis do we track,FINANCE
how is the company performing financially,FINANCE
are we profitable,FINANCE
when do i start,GENERAL
what time should i arrive on first day,GENERAL
where do i go on my first day,GENERAL
what should i bring on first day,GENERAL
what happens on my first day,GENERAL
is there an orientation,GENERAL
what is onboarding,GENERAL
how long is onboarding,GENERAL
what happens during onboarding,GENERAL
who do i meet on first day,GENERAL
will i meet my manager on day one,GENERAL
do i get a tour of the office,GENERAL
what equipment will i get,GENERAL
do i get a laptop,GENERAL
what computer will i receive,GENERAL
will i get a monitor,GENERAL
what about a mouse and keyboard,GENERAL
do i get headphones,GENERAL
will i get a phone,GENERAL
what office supplies do i get,GENERAL
can i request additional equipment,GENERAL
how do i get a second monitor,GENERAL
what is the equipment request process,GENERAL
who do i contact for equipment,GENERAL
what is my email address,GENERAL
how do i access my email,GENERAL
what is my username,GENERAL
how do i log in,GENERAL
what is my password,GENERAL
how do i reset my password,GENERAL
i forgot my password,GENERAL
what systems do i need access to,GENERAL
how do i get system access,GENERAL
when will i have access to everything,GENERAL
how long does it take to get access,GENERAL
who sets up my accounts,GENERAL
what is the it helpdesk number,GENERAL
how do i contact it support,GENERAL
what if i have technical issues,GENERAL
my laptop isnt working,GENERAL
i cant log in,GENERAL
where is the it support email,GENERAL
is there it chat support,GENERAL
what are it support hours,GENERAL
is there after hours it support,GENERAL
what is the vpn,GENERAL
how do i connect to vpn,GENERAL
do i need vpn,GENERAL
when should i use vpn,GENERAL
how do i install vpn,GENERAL
what collaboration tools do we use,GENERAL
do we use slack or teams,GENERAL
how do i join slack,GENERAL
what slack channels should i join,GENERAL
is there a general channel,GENERAL
how do i find people on slack,GENERAL
what is zoom,GENERAL
how do i join zoom meetings,GENERAL
do i need to download zoom,GENERAL
what video conferencing do we use,GENERAL
how do i schedule a meeting,GENERAL
what calendar system do we use,GENERAL
do we use google calendar or outlook,GENERAL
how do i share my calendar,GENERAL
where do i park,GENERAL
is there employee parking,GENERAL
how much does parking cost,GENERAL
do i need a parking pass,GENERAL
how do i get a parking pass,GENERAL
where is visitor parking,GENERAL
is parking free,GENERAL
what about street parking,GENERAL
is there a parking garage,GENERAL
how do i get a badge,GENERAL
when will i receive my badge,GENERAL
what is the badge for,GENERAL
do i need my badge every day,GENERAL
what if i forget my badge,GENERAL
i lost my badge,GENERAL
how do i replace my badge,GENERAL
does my badge open all doors,GENERAL
what areas can i access,GENERAL
how do i get access to conference rooms,GENERAL
where is the office located,GENERAL
what is the office address,GENERAL
how do i get to the office,GENERAL
is there public transportation nearby,GENERAL
what is the nearest subway station,GENERAL
is the office near a bus stop,GENERAL
what are office hours,GENERAL
what time does the office open,GENERAL
what time does the office close,GENERAL
do i need to work specific hours,GENERAL
what are core hours,GENERAL
is there flexible scheduling,GENERAL
can i work different hours,GENERAL
where do i sit,GENERAL
do i have an assigned desk,GENERAL
is there hot desking,GENERAL
can i choose my desk,GENERAL
where is my workspace,GENERAL
where are the restrooms,GENERAL
where is the kitchen,GENERAL
where is the break room,GENERAL
is there free coffee,GENERAL
what snacks are available,GENERAL
is there free food,GENERAL
where can i eat lunch,GENERAL
is there a cafeteria,GENERAL
where can i get lunch nearby,GENERAL
what restaurants are close,GENERAL
is there a fridge i can use,GENERAL
can i store food in the fridge,GENERAL
is there a microwave,GENERAL
where are conference rooms,GENERAL
how do i book a conference room,GENERAL
how do i reserve a meeting room,GENERAL
what meeting rooms are available,GENERAL
how far in advance can i book rooms,GENERAL
is there a room booking system,GENERAL
where are the phone booths,GENERAL
are there private call rooms,GENERAL
where can i take a private call,GENERAL
what is the company mission,GENERAL
what are our company values,GENERAL
what does the company do,GENERAL
what products do we make,GENERAL
what services do we offer,GENERAL
who are our customers,GENERAL
who are our competitors,GENERAL
what is our market position,GENERAL
what is the company vision,GENERAL
what are our strategic goals,GENERAL
where can i learn about company history,GENERAL
when was the company founded,GENERAL
who founded the company,GENERAL
how many employees do we have,GENERAL
how big is the company,GENERAL
where are our offices,GENERAL
do we have international offices,GENERAL
what is company culture like,GENERAL
how would you describe the culture,GENERAL
what is it like to work here,GENERAL
is the culture collaborative,GENERAL
what makes this company special,GENERAL
why do people work here,GENERAL
what are company events,GENERAL
are there team building activities,GENERAL
does the company have parties,GENERAL
is there a holiday party,GENERAL
what social events happen,GENERAL
are there happy hours,GENERAL
what is the annual company retreat,GENERAL
who is my manager,GENERAL
how do i contact my manager,GENERAL
what is my managers email,GENERAL
when do i meet with my manager,GENERAL
how often are one on ones,GENERAL
what should i discuss in one on ones,GENERAL
who do i report to,GENERAL
what is the reporting structure,GENERAL
where is the org chart,GENERAL
can i see the organization chart,GENERAL
how is the company organized,GENERAL
what teams are there,GENERAL
what departments exist,GENERAL
who is on my team,GENERAL
how many people on my team,GENERAL
who are my teammates,GENERAL
how do i find coworkers,GENERAL
is there an employee directory,GENERAL
where can i find contact information,GENERAL
how do i look up someone,GENERAL
how do i find peoples email,GENERAL
what is the email format,GENERAL
who is the ceo,GENERAL
who is in leadership,GENERAL
who are the executives,GENERAL
who is the cto,GENERAL
who is the cfo,GENERAL
who runs hr,GENERAL
who is the head of engineering,GENERAL
how do i contact hr,GENERAL
what is the hr email,GENERAL
who do i talk to about hr issues,GENERAL
where is the hr department,GENERAL
what are hr hours,GENERAL
can i schedule time with hr,GENERAL
who is my hr business partner,GENERAL
what does hr help with,GENERAL
who handles payroll,GENERAL
who do i ask about benefits,GENERAL
who handles it requests,GENERAL
who is the it manager,GENERAL
who runs facilities,GENERAL
who is the office manager,GENERAL
who do i contact for office supplies,GENERAL
how do i order supplies,GENERAL
where do i get pens and paper,GENERAL
can i order my own supplies,GENERAL
is there a supply closet,GENERAL
where are office supplies,GENERAL
what is the first week like,GENERAL
what should i expect in week one,GENERAL
what training will i receive,GENERAL
is there new hire training,GENERAL
what courses do i need to take,GENERAL
is training mandatory,GENERAL
when do i complete training,GENERAL
how long does training take,GENERAL
what is the 30 60 90 day plan,GENERAL
what are my goals for first 30 days,GENERAL
what should i accomplish in 90 days,GENERAL
when is my first performance review,GENERAL
is there a 90 day review,GENERAL
what is the probation period,GENERAL
am i on probation,GENERAL
how long is probation,GENERAL
will i have a mentor,GENERAL
do you assign mentors,GENERAL
who is my onboarding buddy,GENERAL
will someone help me get started,GENERAL
who can i ask questions,GENERAL
what if i have questions,GENERAL
who should i go to for help,GENERAL
is it ok to ask questions,GENERAL
what questions should i ask,GENERAL
where can i find information,GENERAL
is there a company wiki,GENERAL
where is documentation,GENERAL
is there a knowledge base,GENERAL
where do i find company policies,GENERAL
where is the employee handbook,GENERAL
how do i access the handbook,GENERAL
what policies should i know,GENERAL
what rules should i be aware of,GENERAL
what cant i do at work,GENERAL
what is expected of me,GENERAL
what are my responsibilities,GENERAL
what is my job description,GENERAL
what will i be working on,GENERAL
what projects will i work on,GENERAL
what are my deliverables,GENERAL
how will success be measured,GENERAL
what are the success metrics,GENERAL
how do i know if im doing well,GENERAL
what feedback will i get,GENERAL
how often do i get feedback,GENERAL
is feedback continuous,GENERAL
what is the feedback culture,GENERAL
can i give feedback to my manager,GENERAL
is there 360 feedback,GENERAL
how does peer feedback work,GENERAL
what are working hours,GENERAL
what time should i arrive,GENERAL
what time can i leave,GENERAL
how many hours should i work,GENERAL
is overtime expected,GENERAL
do people work late,GENERAL
what is work life balance like,GENERAL
do people work weekends,GENERAL
is it ok to leave at 5,GENERAL
what is the meeting culture,GENERAL
are there a lot of meetings,GENERAL
how many meetings per week,GENERAL
what meetings will i attend,GENERAL
are meetings required,GENERAL
can i decline meetings,GENERAL
what is expected in meetings,GENERAL
should i have my camera on,GENERAL
is video required for meetings,GENERAL
what is the communication style,GENERAL
is communication formal or informal,GENERAL
how do people communicate here,GENERAL
do people use email or slack more,GENERAL
when should i email vs slack,GENERAL
what is response time expectation,GENERAL
how quickly should i respond,GENERAL
do i need to respond immediately,GENERAL
what if i cant respond right away,GENERAL
is there an after hours expectation,GENERAL
do i need to check email after hours,GENERAL
do people work after 5pm,GENERAL
what is the unwritten culture,GENERAL
what should i know thats not written,GENERAL
what are the unspoken rules,GENERAL
what do i need to know to fit in,GENERAL
how do i succeed here,GENERAL
what makes someone successful here,GENERAL
what traits are valued,GENERAL
what behaviors are rewarded,GENERAL
how do i get promoted,GENERAL
what does it take to get promoted,GENERAL
how long until promotion,GENERAL
what is the promotion timeline,GENERAL
are there growth opportunities,GENERAL
can i advance my career here,GENERAL
what career paths exist,GENERAL
where can my career go,GENERAL
